TERRITORIO,COD_MUN,TIME_PERIOD,TIME_PERIOD_CODE,MEDIDAS,MEDIDAS_CODE,OBS_VALUE,NOMBRE,ISLA,valor_referencia
San Bartolomé de Tirajana,35019,2022,2022,Pensiones,PENSIONES,17.5,San Bartolomé de Tirajana,Gran Canaria,56.9
San Bartolomé de Tirajana,35019,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.7,San Bartolomé de Tirajana,Gran Canaria,56.9
La Aldea de San Nicolás,35020,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,53.0,"Aldea de San Nicolás, La",Gran Canaria,53.0
La Aldea de San Nicolás,35020,2022,2022,Otros ingresos,OTROS_INGRESOS,10.8,"Aldea de San Nicolás, La",Gran Canaria,53.0
La Aldea de San Nicolás,35020,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,7.4,"Aldea de San Nicolás, La",Gran Canaria,53.0
La Aldea de San Nicolás,35020,2022,2022,Pensiones,PENSIONES,24.3,"Aldea de San Nicolás, La",Gran Canaria,53.0
La Aldea de San Nicolás,35020,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,4.6,"Aldea de San Nicolás, La",Gran Canaria,53.0
Santa Brígida,35021,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,54.7,Santa Brígida,Gran Canaria,54.7
Santa Brígida,35021,2022,2022,Otros ingresos,OTROS_INGRESOS,24.2,Santa Brígida,Gran Canaria,54.7
Santa Brígida,35021,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,3.6,Santa Brígida,Gran Canaria,54.7
Santa Brígida,35021,2022,2022,Pensiones,PENSIONES,16.2,Santa Brígida,Gran Canaria,54.7
Santa Brígida,35021,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,1.4,Santa Brígida,Gran Canaria,54.7
Santa Lucía de Tirajana,35022,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,66.7,Santa Lucía de Tirajana,Gran Canaria,66.7
Santa Lucía de Tirajana,35022,2022,2022,Otros ingresos,OTROS_INGRESOS,10.3,Santa Lucía de Tirajana,Gran Canaria,66.7
Santa Lucía de Tirajana,35022,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,5.9,Santa Lucía de Tirajana,Gran Canaria,66.7
